date,Unnamed: 0,USD,AUD,CHF,NOK,GBP,NZD,CAD,SEK,EUR
2014-06-30,0,1.369293,1.451686,1.215409,8.395318,0.800441,1.562823,1.46125,9.16391,1.58837988
2016-05-18,1,1.124448,1.552525,1.10526,9.292657,0.773311,1.664674,1.460051,9.341009,1.30435968
2015-11-19,2,1.073339,1.492634,1.088054,9.244948,0.701935,1.635029,1.427335,9.322594,1.24507324
2015-11-18,3,1.066103,1.500339,1.085371,9.248705,0.699941,1.647739,1.419151,9.309239,1.23667948
2015-10-18,4,1.13554,1.563423,1.082528,9.213471,0.735631,1.668372,1.466331,9.362125,1.3172264
2015-11-11,5,1.075023,1.521541,1.079543,9.261798,0.706569,1.638513,1.425855,9.332024,1.24702668
2015-11-10,6,1.072342,1.525454,1.078565,9.250895,0.709176,1.641007,1.423642,9.317893,1.24391672
2015-11-13,7,1.077161,1.511176,1.083038,9.340971,0.70703,1.647126,1.434056,9.338317,1.24950676
2015-11-12,8,1.080899,1.516951,1.082382,9.362281,0.709703,1.652051,1.435912,9.338645,1.25384284
2015-11-15,9,1.07478,1.509579,1.081661,9.351577,0.705841,1.643216,1.43089,9.348106,1.2467448
2015-11-14,10,1.077124,1.511123,1.083011,9.348661,0.707006,1.647069,1.434609,9.335091,1.24946384
2015-11-17,11,1.064404,1.496543,1.078256,9.243307,0.699575,1.644054,1.417608,9.314343,1.23470864
2015-11-16,12,1.068508,1.506665,1.07797,9.291822,0.702883,1.647379,1.42437,9.323419,1.23946928
2014-09-19,13,1.283037,1.437445,1.206515,8.163134,0.787704,1.578343,1.406714,9.175612,1.48832292
2014-09-18,14,1.291768,1.438014,1.206888,8.191825,0.785807,1.583966,1.414333,9.16565,1.49845088
2014-09-15,15,1.293701,1.432695,1.209824,8.266911,0.797087,1.582085,1.431007,9.211797,1.50069316
2014-09-14,16,1.2966,1.439069,1.210157,8.256032,0.797393,1.592087,1.438007,9.258227,1.504056
2014-09-17,17,1.28431,1.435348,1.208247,8.268919,0.79004,1.588377,1.415513,9.201002,1.4897996
2014-09-16,18,1.295297,1.426531,1.209137,8.289093,0.796795,1.58151,1.424647,9.232173,1.50254452
2014-09-11,19,1.292263,1.41915,1.209356,8.236745,0.794834,1.577945,1.424616,9.208942,1.49902508
2014-09-10,20,1.292157,1.410491,1.209978,8.192965,0.797449,1.575241,1.415604,9.175847,1.49890212
2014-09-13,21,1.296277,1.434281,1.210392,8.250696,0.796895,1.591041,1.436991,9.242576,1.50368132
2014-09-12,22,1.296243,1.434299,1.210615,8.24538,0.796827,1.590991,1.435139,9.23577,1.50364188
2015-09-10,23,1.12871,1.594994,1.09954,9.238933,0.730921,1.789099,1.492881,9.450974,1.3093036
2015-09-11,24,1.133721,1.598655,1.100057,9.25647,0.734823,1.79465,1.503181,9.373789,1.31511636
